ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_EquivalentDiameter,ImagePath,Day,Well,Tile,z,Condition
3,6,52296.25223,258.0419663,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,7,39286.1392,223.6530035,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,8,37168.35217,217.5412968,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,9,39601.42772,224.5486669,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,10,41397.97739,229.5855873,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,11,40844.73528,228.0463377,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,12,41772.75431,230.6224679,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,13,46977.98929,244.5694864,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,14,37721.59429,219.1543418,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,15,39637.12076,224.6498377,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,16,48697.20405,249.0044295,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,17,51356.33551,255.7125676,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,18,42367.63831,232.258805,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,19,36139.20286,214.5084199,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,20,32736.46639,204.160142,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,21,48715.05057,249.0500528,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,22,37894.11065,219.6549116,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,23,49036.28792,249.8698479,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,24,36900.65437,216.7564817,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,25,35788.2213,213.4642326,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,26,45925.04462,241.8131156,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,27,36121.35634,214.4554483,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,28,30053.53956,195.6153241,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,29,35359.90482,212.1830085,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,30,48114.21773,247.5094436,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,31,96299.82153,350.1610214,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,32,32552.05235,203.5842831,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,33,31867.93575,201.4336516,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,34,33908.38786,207.7823388,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,35,40785.24688,227.8802079,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,36,29190.95776,192.7876598,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,37,26186.79358,182.5980863,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,38,28494.94349,190.4754285,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,39,56769.77989,268.8522433,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,40,39048.1856,222.9746489,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,41,24419.9881,176.3306398,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,42,30374.77692,196.6579954,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,43,49196.9066,250.2787385,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,44,27424.15229,186.8622893,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,45,30362.87924,196.6194765,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,46,50642.47472,253.9291268,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,47,56668.64961,268.6126684,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,48,38102.32005,220.2575325,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,49,31802.49851,201.2267346,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,50,39892.92088,225.3735664,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,51,42052.34979,231.3929876,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,52,40820.93992,227.9799003,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,53,43884.5925,236.3801992,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,54,78655.56217,316.4606961,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,55,46085.6633,242.2356063,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
4,1,58905.41344,273.86256,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,2,62980.36883,283.1767931,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,3,47299.22665,245.4042498,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,4,48477.09697,248.4410531,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,5,46085.6633,242.2356063,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,6,62218.91731,281.4597413,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,7,45508.62582,240.7143162,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,8,45110.05354,239.6578896,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,9,43480.07139,235.2882196,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,10,63795.3599,285.003114,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,11,42617.48959,232.942639,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,12,56442.59369,268.076374,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,13,53985.72278,262.1769576,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,14,41832.24271,230.7866237,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,15,52444.97323,258.408618,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,16,45377.75134,240.3679418,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,17,43039.85723,234.0941012,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,18,49298.03688,250.5358458,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,19,40380.72576,226.7472974,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,20,39500.29744,224.2617683,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,21,43765.6157,236.0595531,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,22,36430.69601,215.3717781,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,23,54788.81618,264.1198352,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,24,54033.3135,262.2924922,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,25,47144.55681,245.0026817,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,26,42998.21535,233.9808286,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,27,45002.97442,239.3732789,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,28,50101.13028,252.5682884,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,29,46853.06365,244.2440858,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,30,44842.35574,238.9457273,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,31,46276.02617,242.7353837,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,32,51760.85663,256.7176845,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,33,54033.3135,262.2924922,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,34,44913.74182,239.1358446,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,35,48090.42237,247.4482319,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,36,36627.00773,215.9512784,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,37,47495.53837,245.912988,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,38,47935.75253,247.0499863,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,39,41743.01011,230.5403461,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,40,45532.42118,240.7772398,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,41,48149.91077,247.6012328,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,42,49405.116,250.8077898,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,43,47305.17549,245.4196816,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,44,50261.74896,252.9728174,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,45,46049.97026,242.1417832,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,46,47096.96609,244.8789898,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,47,48120.16657,247.5247442,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,48,43438.42951,235.1755221,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,49,48364.06901,248.1512547,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,50,43848.89946,236.2840511,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,51,57334.91969,270.1871334,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,52,57596.66865,270.8031687,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,53,56882.80785,269.119751,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,54,52760.26175,259.1842041,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
5,1,55978.58418,266.972184,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,2,40053.53956,225.8268152,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,3,48459.25045,248.3953179,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,4,41302.79595,229.321506,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,5,42546.10351,232.7474628,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,6,33896.49018,207.7458826,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,7,48578.22725,248.7000602,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,8,40029.7442,225.7597247,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,9,40939.91672,228.311894,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,10,45223.0815,239.9579457,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,11,43236.16895,234.6273643,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,12,48691.25521,248.9892199,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,13,46317.66805,242.8445729,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,14,42135.63355,231.6220086,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,15,38697.20405,221.9702918,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,16,41011.3028,228.5108586,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,17,40987.50744,228.4445563,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,18,31302.79595,199.6395694,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,19,39428.91136,224.0590305,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,20,58185.60381,272.1841503,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,21,48245.09221,247.8458376,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,22,37108.86377,217.3671383,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,23,31035.09816,198.7840895,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,24,38423.55741,221.1840698,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,25,44295.06246,237.483105,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,26,47447.94765,245.7897542,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,27,61284.94943,279.3392581,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,28,58506.84117,272.934468,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,29,39738.25104,224.9362413,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,30,33283.75967,205.8596585,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,31,38536.58537,221.509152,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,32,40309.33968,226.5467839,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,33,38839.9762,222.3793912,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,34,42635.33611,232.9914074,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,35,44753.12314,238.7078678,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,36,50464.00952,253.481306,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,37,41701.36823,230.4253265,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,38,46014.27722,242.0479237,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,39,40844.73528,228.0463377,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,40,39589.53004,224.5149331,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,41,43652.58775,235.7545354,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,42,43872.69482,236.3481542,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,43,45639.5003,241.0601929,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,44,50321.23736,253.1224789,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,45,39779.89292,225.0540663,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,46,37906.00833,219.6893916,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,47,41511.00535,229.8987898,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,48,39262.34384,223.5852607,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,49,48845.92504,249.3843687,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,50,43539.55979,235.4491225,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,51,51332.54015,255.6533201,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,52,61695.41939,280.2731662,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,53,50434.26532,253.4065923,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,54,46960.14277,244.5230271,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
5,55,51707.31707,256.5848804,/app/data/Plaque 2 test/D21_A5.jpg,D21,A5,,,
6,1,66710.29149,291.441557,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
6,2,56472.33789,268.1470003,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
6,3,67465.79417,293.0872175,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
6,4,75229.03034,309.490834,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
6,5,56876.85901,269.1056783,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
6,6,55591.90958,266.048525,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
6,7,57037.47769,269.4853839,/app/data/Plaque 2 test/D21_A6.jpg,D21,A6,,,
